Company Name,Country,Ecosystem,Field,Ticker,URL,イラン攻撃後のポテンシャル,東証33業種,江戸的役割,観測ステータス,観測点
レボインターナショナル,Japan,江戸循環ネットワーク文明,バイオ燃料,5022,https://www.revo-international.co.jp/,,石油・石炭製品,現代の下肥商,重点観測,廃食用油回収の分散型ネットワークとSAF化
ＥＮＥＯＳホールディングス,Japan,江戸循環ネットワーク文明,石油・エネルギー,5020,https://www.hd.eneos.co.jp/,,石油・石炭製品,大江戸エネルギー大問屋,観測中,廃プラ油化・SAF等、巨大還流ハブへの転換
出光興産,Japan,江戸循環ネットワーク文明,石油・エネルギー,5019,https://www.idemitsu.com/,,石油・石炭製品,地域エネルギーの元締,観測中,アンモニア・水素の地域グリッド構築
ニチレキグループ,Japan,江戸循環ネットワーク文明,アスファルト舗装,5011,https://www.nichireki.co.jp/,,石油・石炭製品,現代の普請,観測中,アスファルト再生による道路インフラの長寿命化
ユシロ化学工業,Japan,江戸循環ネットワーク文明,金属加工剤,5013,https://www.yushiro.co.jp/,,石油・石炭製品,道具の守り人,観測中,生分解性切削油による低エントロピー加工
ＭＯＲＥＳＣＯ,Japan,江戸循環ネットワーク文明,特殊潤滑剤,5018,https://www.moresco.co.jp/,,石油・石炭製品,職人御用達の油さし,観測中,環境負荷極小の特殊真空ポンプ油等
コスモエネルギーホールディングス,Japan,江戸循環ネットワーク文明,石油・エネルギー,5021,https://www.cosmo-energy.co.jp/,,石油・石炭製品,風の文明への先導者,観測中,風力発電とSAFへのポートフォリオ移行
日本コークス工業,Japan,江戸循環ネットワーク文明,石炭・資源,3315,https://www.n-coke.com/,,石油・石炭製品,現代の炭焼き,観測中,石炭技術の資源リサイクル・粉体技術への転用
日本精蝋,Japan,江戸循環ネットワーク文明,ワックス製造,5010,https://www.seiro.co.jp/,,石油・石炭製品,現代の蝋燭屋,観測中,天然由来ワックス・高機能素材による脱石油
富士石油,Japan,江戸循環ネットワーク文明,石油精製,5017,https://www.foc.co.jp/,,石油・石炭製品,循環型リファイナリー,観測中,原油精製拠点のバイオ燃料化プロセス
ビーピー・カストロール,Japan,江戸循環ネットワーク文明,潤滑油,5015,https://www.castrol.com/ja_jp/japan/,,石油・石炭製品,摩擦の制御師,観測中,高効率潤滑による機械寿命の最大化
王子ホールディングス,Japan,江戸循環ネットワーク文明,森林資源・CNF,3861,https://www.ojiholdings.co.jp/,,化学,大江戸八百八町の森番,重点観測,広大な社有林による炭素固定と木材由来新素材CNFの社会実装
日本製紙,Japan,江戸循環ネットワーク文明,紙製パッケージ・CNF,3863,https://www.nipponpapergroup.com/,,化学,令和の和紙革新師,重点観測,脱プラを加速させる紙製バリア包装とCNFの多用途展開
レンゴー,Japan,江戸循環ネットワーク文明,板紙・段ボール,3941,https://www.rengo.co.jp/,,化学,還流の総元締,重点観測,段ボールリサイクル率99%以上を支える循環インフラ
中越パルプ工業,Japan,江戸循環ネットワーク文明,竹紙・バイオマス,3877,http://www.chuetsu-pulp.co.jp/,,化学,里山資源の再生屋,観測中,放置竹林を紙に変える竹紙プロジェクト
特種東海製紙,Japan,江戸循環ネットワーク文明,特殊機能紙,3708,https://www.tt-paper.co.jp/,,化学,高機能紙の細工師,観測中,特殊紙技術と廃棄物焼却による自家発電循環
ニッポン高度紙工業,Japan,江戸循環ネットワーク文明,電子部品用セパレータ,3891,https://www.nkk-poly.co.jp/,,化学,電気の還流を支える薄紙師,観測中,コンデンサ用セパレータ世界首位でエネルギー循環を支える
阿波製紙,Japan,江戸循環ネットワーク文明,水処理・機能紙,3896,https://www.awapaper.co.jp/,,化学,水と繊維の調律師,観測中,水処理膜用支持体など環境浄化ネットワークの中核
ザ・パック,Japan,江戸循環ネットワーク文明,紙袋・包装資材,3950,https://www.thepack.co.jp/,,化学,現代の通い袋師,観測中,プラスチックから紙へのシフトを店頭から支える
三菱製紙,Japan,江戸循環ネットワーク文明,感熱紙・不織布,3864,https://www.mpm.co.jp/,,化学,情報の定着師,観測中,リサイクル可能な感熱紙と環境配慮素材への転換
ツムラ,Japan,江戸循環ネットワーク文明,漢方医学,4540,https://www.tsumura.co.jp/,,医薬品,現代の薬草園・漢方の守り人,重点観測,生薬の持続可能な調達ネットワークと未病・養生の知恵
ロート製薬,Japan,江戸循環ネットワーク文明,セルフケア・再生医療,4527,https://www.rohto.co.jp/,,医薬品,養生と自律の伴走者,重点観測,自己治癒力を高める再生医療とウェルビーイングの循環
武田薬品工業,Japan,江戸循環ネットワーク文明,グローバル創薬,4502,https://www.takeda.com/jp/,,医薬品,薬種中買仲間の末裔,観測中,近世大阪道修町から続く知恵のグローバル構造化
クオリプス,Japan,江戸循環ネットワーク文明,再生医療,4894,https://cuorips.co.jp/,,医薬品,生命を耕す現代の土壌師,重点観測,iPS細胞による臓器再生という命の還流の物理実装
森下仁丹,Japan,江戸循環ネットワーク文明,伝統薬・カプセル技術,4524,https://www.jintan.co.jp/,,医薬品,伝統知恵のパッケージング師,観測中,生薬成分と微小カプセルによる始末の設計
第一三共,Japan,江戸循環ネットワーク文明,先端バイオ,4568,https://www.daiichisankyo.co.jp/,,医薬品,蘭学から続く知の継承者,観測中,日本独自のバイオ技術による生命ネットワークの再構築
大幸薬品,Japan,江戸循環ネットワーク文明,衛生・家庭薬,4574,https://www.seirogan.co.jp/,,医薬品,置き薬の精神的支柱,観測中,家庭の自立的な保健システムを支える歴史的信頼の還流
エーザイ,Japan,江戸循環ネットワーク文明,認知症・認知科学,4523,https://www.eisai.co.jp/,,医薬品,養生訓の現代的実践者,観測中,共感を中心とした生命ネットワークのケア
セルソース,Japan,江戸循環ネットワーク文明,細胞加工,4880,https://www.cellsource.co.jp/,,医薬品,細胞の再資源化拠点,観測中,個人の細胞を未来の資源として還流させるインフラ
参天製薬,Japan,江戸循環ネットワーク文明,眼科領域,4536,https://www.santen.com/ja/,,医薬品,職人の目を見守る番人,観測中,見る文化を支え感性を維持する特化型インフラ
王子ホールディングス,Japan,江戸循環ネットワーク文明,森林資源・CNF,3861,https://www.ojiholdings.co.jp/,,パルプ・紙,大江戸八百八町の森番,重点観測,広大な社有林による炭素固定と木材由来新素材CNFの社会実装
日本製紙,Japan,江戸循環ネットワーク文明,紙製パッケージ・CNF,3863,https://www.nipponpapergroup.com/,,パルプ・紙,令和の和紙革新師,重点観測,脱プラを加速させる紙製バリア包装とCNFの多用途展開
レンゴー,Japan,江戸循環ネットワーク文明,板紙・段ボール,3941,https://www.rengo.co.jp/,,パルプ・紙,還流の総元締,重点観測,段ボールリサイクル率99%以上を支える循環インフラ
中越パルプ工業,Japan,江戸循環ネットワーク文明,竹紙・バイオマス,3877,http://www.chuetsu-pulp.co.jp/,,パルプ・紙,里山資源の再生屋,観測中,放置竹林を紙に変える竹紙プロジェクト
特種東海製紙,Japan,江戸循環ネットワーク文明,特殊機能紙,3708,https://www.tt-paper.co.jp/,,パルプ・紙,高機能紙の細工師,観測中,特殊紙技術と廃棄物焼却による自家発電循環
ニッポン高度紙工業,Japan,江戸循環ネットワーク文明,電子部品用セパレータ,3891,https://www.nkk-poly.co.jp/,,パルプ・紙,電気の還流を支える薄紙師,観測中,コンデンサ用セパレータ世界首位でエネルギー循環を支える
阿波製紙,Japan,江戸循環ネットワーク文明,水処理・機能紙,3896,https://www.awapaper.co.jp/,,パルプ・紙,水と繊維の調律師,観測中,水処理膜用支持体など環境浄化ネットワークの中核
ザ・パック,Japan,江戸循環ネットワーク文明,紙袋・包装資材,3950,https://www.thepack.co.jp/,,パルプ・紙,現代の通い袋師,観測中,プラスチックから紙へのシフトを店頭から支える
三菱製紙,Japan,江戸循環ネットワーク文明,感熱紙・不織布,3864,https://www.mpm.co.jp/,,パルプ・紙,情報の定着師,観測中,リサイクル可能な感熱紙と環境配慮素材への転換